model,score_column,evaluation_target,split/test_set,threshold,n_samples,predicted_positive_rate,precision,recall,f1,true_positive_rate,false_positive_count,false_negative_count
old_weak_token_logistic,token_logistic_score,rugcheck_binary,all_usable_rugcheck,0.1,165259,0.37127781240356045,0.8070798767866747,0.36514596252682185,0.5028074771289612,0.820633066882893,11837,86097
old_weak_token_logistic,token_logistic_score,rugcheck_binary,all_usable_rugcheck,0.2,165259,0.18957515173152445,0.7930671263047017,0.183207120051321,0.2976531333485079,0.820633066882893,6483,110771
old_weak_token_logistic,token_logistic_score,rugcheck_binary,all_usable_rugcheck,0.3,165259,0.08924778680737509,0.7830361380432572,0.08515894025085351,0.15361185374353245,0.820633066882893,3200,124068
old_weak_token_logistic,token_logistic_score,rugcheck_binary,all_usable_rugcheck,0.5,165259,0.03676653011333725,0.7368334430546412,0.033012085505504475,0.06319295942636545,0.820633066882893,1599,131140
old_weak_token_logistic,token_logistic_score,rugcheck_binary,all_usable_rugcheck,0.7,165259,0.02140881888429677,0.7012436404748446,0.018294166660521912,0.035658079120405306,0.820633066882893,1057,133136
old_weak_token_logistic,token_logistic_score,rugcheck_binary,all_usable_rugcheck,0.9,165259,0.011255060238776707,0.6532258064516129,0.008959053805938784,0.017675683932585087,0.820633066882893,645,134402
old_weak_xgboost_token,token_model_score,rugcheck_binary,all_usable_rugcheck,0.01,165259,0.024240737266956715,0.7613579630554169,0.022489805850299003,0.043689077014531986,0.820633066882893,956,132567
old_weak_xgboost_token,token_model_score,rugcheck_binary,all_usable_rugcheck,0.02,165259,0.010674153903872104,0.713718820861678,0.009283496906729981,0.018328589834110978,0.820633066882893,505,134358
old_weak_xgboost_token,token_model_score,rugcheck_binary,all_usable_rugcheck,0.05,165259,0.006178180916016677,0.66307541625857,0.004991999528082763,0.009909395629327127,0.820633066882893,344,134940
old_weak_xgboost_token,token_model_score,rugcheck_binary,all_usable_rugcheck,0.1,165259,0.005560967935180535,0.6561479869423286,0.004446345222206656,0.008832835296185622,0.820633066882893,316,135014
old_weak_xgboost_token,token_model_score,rugcheck_binary,all_usable_rugcheck,0.2,165259,0.004937703846689136,0.6446078431372549,0.0038785697958220577,0.007710744467980621,0.820633066882893,290,135091
old_weak_xgboost_token,token_model_score,rugcheck_binary,all_usable_rugcheck,0.3,165259,0.0045806884950290155,0.6446499339498019,0.0035983689360478406,0.007156789417337616,0.820633066882893,269,135129
old_weak_xgboost_token,token_model_score,rugcheck_binary,all_usable_rugcheck,0.5,165259,0.004005833267779667,0.6676737160120846,0.0032591784215843145,0.006486692740627683,0.820633066882893,220,135175
